"","","","","","","","","","",""
"17063","ADAM Chenetat","1464","Étudiant","  ","","Paris","Étudiant ?","oui","non","non"
"34","ADAM Choquardi de S. Amando","1386","Gradué","Flandre Saint-Amand ","Tournai","Paris","Bachelier en droit canon","oui","oui","non"
"16191","ADAM Clerici","1455","Gradué","  ","Paris","Paris","
          Bachelier ès arts (Paris)
          
            1455
          
          .
        ","non","non","non"
"35","ADAM Coliburn","1452","Gradué","  ","","Paris","
            Bachelier en théologie cursor (Paris)
          
            1452
          
          .
        ","non","non","non"
"78","ADAM Crocg","1330","?Étudiant","  ","","Paris","","non","non","non"
"19214","ADAM Danremi","1420","Incertain","  ","","","","non","oui","non"
"37","ADAM Dartois","1403","Gradué","  ","Paris","Paris","Bachelier ès arts (Paris).","oui","non","non"
"17009","ADAM Deshates","1464","Maître","  ","","Paris","Magister","non","non","non"
"16410","ADAM Elphinston","1490","Maître","Ecosse  ","Glasgow","Paris","
          Maître ès arts (Paris)
          
            
              1494
            
            
              1495
            
          
          .
        ","non","non","non"
"15591","ADAM Everdey","1428","Maître","  ","Cambrai","Paris","
          Bachelier en droit canon (Paris) (le 31 juillet)
          
            1427
          
          .
        ","oui","oui","non"
"39","ADAM Flamingi","1369","Extérieur","  ","","","","non","oui","non"
"40","ADAM Folez Picardus","1313","Étudiant","Picardie  ","","Paris","","non","non","non"
"41","ADAM Forestarii","1378","Gradué","  ","","Paris","Bachelier ès arts.","non","non","non"
"42","ADAM Fumée","1449","Maître","  ","Bayeux","Montpellier","
          ?Maître en médecine (Montpellier)
          
            1454
          
          .
        ","non","oui","non"
"17118","ADAM Gondalier","1464","Étudiant","  ","","Paris","Étudiant ?","non","non","non"
"43","ADAM Hobonis de Catwiic","1367","Maître","Pays-Bas Katwijk aan Zee ","","Paris","
          Bachelier en droit canon .
          
            1365
          
          .
        ","oui","non","non"
"44","ADAM Jedvort de Scotia","1359","Extérieur","Écosse  ","","","","non","non","non"
"16130","ADAM Joly","1477","Suppôt","  ","","Paris","","non","oui","non"
"16129","ADAM Ladan","1479","Gradué","  ","Arras","Paris","
          Bachelier ès arts (Paris)
          
            1479
          
          .
        ","non","non","non"
"45","ADAM Linc","1472","Gradué","Allemagne  ","Spire","Paris","
          Bachelier ès arts (Paris)
          
            1372
          
          .
        ","non","non","non"
"46","ADAM Lochart","1473","Maître","Ecosse Lanark ","Glasgow","Paris","
          Maître ès arts (Paris)
          
            1473
          
          .
        ","non","oui","non"
"15844","ADAM Magistri","1388","Étudiant","Normandie  ","Évreux","Paris","
          Étudiant ès arts (Paris)
          
            1388
          
          .
        ","oui","non","non"
"15845","ADAM Maioris","1380","Étudiant","  ","Paris","Paris","","oui","non","non"
"15846","ADAM Malebranque","1381","Étudiant","  ","Thérouanne","Paris","
          Étudiant ès arts (Paris)
          
            
              1380
            
            
              1382
            
          
          .
        ","oui","non","non"
"47","ADAM Marescalli","1356","Maître","  ","Paris","Paris","
          Maître ès arts (Paris)
          
            1349
          
          .
        ","oui","non","non"
"48","ADAM Martin","1435","Extérieur","  ","","Paris","","non","oui","non"
"49","ADAM Olearii","1349","Maître","Picardie  ","Laon","Paris","
          Maître ès arts (Paris)
          
            1349
          
          .
        ","oui","non","non"
"15849","ADAM Paradisi","1378","Étudiant","  ","Paris","Paris","","oui","non","non"
"15850","ADAM Parvi de Mareyo","1378","Étudiant","Bourgogne Marey-sur-Tille ","Langres","Paris","
          Étudiant en droit canon (Paris)
          
            
              1375
            
            
              1378
            
          
          .
        ","oui","non","non"
"118","ADAM Parvipontanus","1139","Étudiant","Angleterre Cambridgeshire Balsham","","Paris","","oui","oui","oui"
"123","ADAM Payn","1411","Extérieur","Irlande  ","","Paris","
          Maître en théologie (Oxford)
          
            1402
          
          .
        ","oui","non","oui"
"17010","ADAM Perrini","1464","Maître","  ","","Paris","Magister","non","non","non"
"50","ADAM Petite","1386","Gradué","  ","","Paris","
          Bachelier en théologie (Paris)
          
            1385
          
          .
        ","oui","oui","non"
"51","ADAM Picard de la Vacherie","1282","Incertain","Picardie  ","","Paris","
          Magister (Paris)?
          
            1281
          
          .
        ","oui","non","oui"
"52","ADAM Pice","1363","Maître","Artois  ","Arras","Paris","
          Maître ès arts (Paris)
          
            1355
          
          .
        ","oui","non","non"
"53","ADAM Piri","1502","Gradué","  ","","Paris","
          Bachelier en médecine (Paris)
          
            1502
          
          .
        ","non","non","non"
"15853","ADAM Pluyette","1488","Maître","  ","","Paris","Maître ès arts (Paris).","non","oui","non"
"124","ADAM Pulchre-Mulieris","1218","Maître","  ","","Paris","
          Maître en théologie (Paris)
          
            
              1209
            
            
              1210
            
          
        ","oui","oui","oui"
"54","ADAM Redscheff","1494","Maître","Angleterre  ","Thérouanne Canterbury","Louvain","
          Docteur en droit canon (Paris)
          
            1485
          
          .
        ","oui","oui","non"
"55","ADAM Rigaud","1285","Maître ?","  ","","Paris","Maître en théologie ?","oui","non","non"
"56","ADAM Robart","1407","Maître","  ","Laon","Paris","
          Maître en médecine (Paris)
          
            1410
          
          .
        ","non","oui","non"
"57","ADAM Scaep","1448","Maître","Pays-Bas Doesborch ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1447
          
          ;
        ","non","oui","non"
"58","ADAM Scotrelman","1385","Étudiant ?","  ","","Paris","","non","non","non"
"17117","ADAM Socart","1464","Étudiant","  ","","Paris","Étudiant ?","non","non","non"
"59","ADAM Soetter","1462","Gradué","Allemagne  ","Mayence","Paris","
          Bachelier ès arts (Paris)
          
            1462
          
          .
        ","non","non","non"
"60","ADAM Spens","1474","Maître","Ecosse  ","Saint-Andrews","Paris","
          Maître ès arts (Paris)
          
            1465
          
          .
        ","oui","oui","non"
"16194","ADAM Tegularii","1447","Maître","  ","","Paris","Maître ès arts (Paris).","oui","non","non"
"16523","ADAM Tournemeule","1467","Maître","  ","","Paris","
          Maître ès arts (Paris)
          
            1462
          
          .
        ","non","oui","non"
"121","ADAM Wallensis","1170","Maître","Wales  ","","Paris","Magister en théologie (Paris).","oui","oui","non"
"129","ADAM Waquet de Villemontoir","1374","Étudiant","Picardie Soissons ","Soissons","Paris","
          Étudiant en grammaire (Paris)
          
            1351
          
          .
        ","oui","oui","non"
"16411","ADAM Wiler","1493","Maître","Allemagne Pforzheim ","Spire","Paris","
          Maître ès arts (Paris)
          
            1495
          
          .
        ","non","non","non"
"62","ADAM Williamson","1492","Maître","Écosse  ","Whithorn Glasgow","Paris","
          Maître ès arts (Paris)
          
            1492
          
          .
        ","non","non","non"
"63","ADAM Wynsterhelz","1463","Maître","Allemagne  ","Augsbourg","Paris","
          Maître ès arts (Paris)
          
            1464
          
          .
        ","non","non","non"
"64","ADAM d'Arras","1231","Incertain","Artois Arras ","","","","oui","non","non"
"16525","ADAM d'Origny","1422","Maître","  ","Laon","Paris","
          Licencié en médecine (Paris)
          
            1418
          
          .
        ","non","oui","non"
"67","ADAM de Ardone","1403","Maître","Picardie  ","Laon","Paris","
          Licencié en droit canon (Paris) attesté en
          
            1403
          
          .
        ","oui","non","non"
"125","ADAM de Ayaco","1384","Maître","  ","","Paris","
          Docteur en théologie (Paris)
          
            1385
          
          .
        ","oui","non","non"
"68","ADAM de Baudribosc","1403","Maître","Normandie Rouen ","Rouen","Paris","
          Licencié in utroque jure (Paris)
          
            1403
          
          .
        ","oui","oui","non"
"69","ADAM de Bellomonte","1384","Gradué","Picardie  ","Amiens","Paris","
          Licencié ès arts (Paris)
          
            1385
          
          .
        ","oui","oui","non"
"70","ADAM de Borrenc","1296","Maître","  ","","Paris","Magister.","non","non","non"
"71","ADAM de Braguelongue","1427","?Maître","  ","","","","non","non","non"
"72","ADAM de Brana","1379","Étudiant","Picardie  ","Laon","Paris","Étudiant en droit canon (Paris).","oui","non","non"
"122","ADAM de Buckfield","1264","Incertain","Angleterre Bockenfield Northumberland","Durham","Paris","
          Maître ès arts (Oxford)
          
            1243
          
          .
        ","oui","non","non"
"126","ADAM de Cambrai","1435","Maître","Champagne Montépreux ","Châlons-en-Champagne","Paris","
          Licencié in utroque jure (Paris)
          
            1412
          
          .
        ","oui","oui","non"
"73","ADAM de Capriosa","1366","Extérieur","  ","","","","non","oui","non"
"75","ADAM de Chambly","1243","Incertain","Picardie Chambly ","","","","oui","oui","non"
"76","ADAM de Charniaco","1284","?Maître","  ","","Paris","Magister","non","non","non"
"77","ADAM de Corbeil","1274","Maître","  ","","Paris","
          Magister
          
            1274
          
          .
        ","oui","non","non"
"15304","ADAM de Courlandon","1213","Maître","Champagne  ","","Laon","
          Maître en théologie à
          Laon
          à partir de
          
            1194
          
          , quand il succède à
          Michel de CORBEIL
          .
        ","oui","oui","oui"
"79","ADAM de Dompmartin","1380","Maître","Paris  ","","Paris","
          Maître en théologie (Paris)
          
            1375
          
          .
        ","oui","non","non"
"119","ADAM de Dryburgh","1185","Extérieur","Ecosse  ","","","","oui","non","oui"
"80","ADAM de Elon","1339","?Étudiant","Écosse  ","","Paris","","oui","non","non"
"81","ADAM de Emelisse","1358","Incertain","  ","","Paris","
          Bachelier ès arts
          
            1358
          
          ?
        ","non","non","non"
"82","ADAM de Estrebayo","1378","Gradué","Champagne  ","Reims","Paris","
          Bachelier en droit canon (Paris)
          
            1379
          
          .
        ","oui","non","non"
"15556","ADAM de Eynsham","1215","?Étudiant","Angleterre Oxfordshire ","Canterbury","Paris","","oui","non","oui"
"83","ADAM de Fexhe","1405","Maître","  ","","Paris","
          Maître ès arts (Paris)
          
            1405
          
          .
        ","non","non","non"
"84","ADAM de Franseriis","1399","Maître","Picardie  ","Beauvais","Paris","
          Maître ès arts (Paris)
          
            1413
          
          .
        ","oui","non","non"
